latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.94903,-72.30768,9.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),daylight_duration (s)
2012-02-11,73,3.40,0.80,12.0,37724.88
2012-02-12,3,0.00,0.00,0.0,37874.24
2012-02-13,3,0.00,0.00,0.0,38024.93
2012-02-14,3,0.00,0.00,0.0,38176.84
2012-02-15,51,0.30,0.30,2.0,38329.78
2012-02-16,53,2.50,2.50,8.0,38483.62
2012-02-17,51,1.60,1.60,9.0,38638.21
2012-02-18,53,1.80,1.80,4.0,38793.41
2012-02-19,3,0.00,0.00,0.0,38949.08
2012-02-20,3,0.00,0.00,0.0,39105.08
2012-02-21,61,1.50,1.50,2.0,39261.27
2012-02-22,3,0.00,0.00,0.0,39417.53
2012-02-23,61,3.40,3.40,6.0,39573.71
2012-02-24,73,18.60,16.70,19.0,39729.70
2012-02-25,51,0.40,0.40,2.0,39885.77
2012-02-26,0,0.00,0.00,0.0,40043.16
2012-02-27,51,0.30,0.30,2.0,40201.87
2012-02-28,3,0.00,0.00,0.0,40361.75
2012-02-29,61,8.90,8.90,12.0,40522.67
2012-03-01,63,10.00,10.00,15.0,40684.52
2012-03-02,53,0.80,0.80,1.0,40847.16
2012-03-03,61,10.90,10.90,15.0,41010.48
2012-03-04,51,0.20,0.20,2.0,41174.36
2012-03-05,3,0.00,0.00,0.0,41338.68
2012-03-06,0,0.00,0.00,0.0,41503.32
2012-03-07,3,0.00,0.00,0.0,41668.18
2012-03-08,3,0.00,0.00,0.0,41833.12
2012-03-09,61,5.70,5.70,6.0,41998.05
2012-03-10,3,0.00,0.00,0.0,42162.84
2012-03-11,0,0.00,0.00,0.0,42327.39
2012-03-12,3,0.00,0.00,0.0,42491.58
2012-03-13,53,2.30,2.30,7.0,42655.30
2012-03-14,3,0.00,0.00,0.0,42818.44
2012-03-15,3,0.00,0.00,0.0,42980.89
2012-03-16,3,0.00,0.00,0.0,43142.91
2012-03-17,3,0.00,0.00,0.0,43305.65
2012-03-18,3,0.00,0.00,0.0,43469.09
2012-03-19,3,0.00,0.00,0.0,43633.13
2012-03-20,3,0.00,0.00,0.0,43797.67
2012-03-21,3,0.00,0.00,0.0,43962.61
2012-03-22,51,0.20,0.20,2.0,44127.84
2012-03-23,3,0.00,0.00,0.0,44293.26
2012-03-24,3,0.00,0.00,0.0,44458.78
2012-03-25,53,4.90,4.90,13.0,44624.27
2012-03-26,3,0.00,0.00,0.0,44789.65
2012-03-27,2,0.00,0.00,0.0,44954.81
2012-03-28,53,1.70,1.70,5.0,45119.65
2012-03-29,51,0.30,0.30,1.0,45284.05
2012-03-30,3,0.00,0.00,0.0,45447.92
2012-03-31,61,14.20,14.20,16.0,45611.14
2012-04-01,55,4.10,4.10,7.0,45773.61
2012-04-02,61,3.70,3.70,5.0,45935.21
2012-04-03,0,0.00,0.00,0.0,46095.84
2012-04-04,2,0.00,0.00,0.0,46255.38
2012-04-05,2,0.00,0.00,0.0,46414.06
2012-04-06,1,0.00,0.00,0.0,46573.00
2012-04-07,3,0.00,0.00,0.0,46732.15
2012-04-08,3,0.00,0.00,0.0,46891.43
2012-04-09,53,0.50,0.50,1.0,47050.73
2012-04-10,2,0.00,0.00,0.0,47209.95
2012-04-11,3,0.00,0.00,0.0,47368.99
2012-04-12,51,0.80,0.80,4.0,47527.74
2012-04-13,2,0.00,0.00,0.0,47686.09
2012-04-14,3,0.00,0.00,0.0,47843.93
2012-04-15,51,0.40,0.40,1.0,48001.16
2012-04-16,51,0.10,0.10,1.0,48157.64
2012-04-17,1,0.00,0.00,0.0,48313.29
2012-04-18,3,0.00,0.00,0.0,48467.95
2012-04-19,3,0.00,0.00,0.0,48621.54
2012-04-20,51,0.60,0.60,2.0,48773.91
2012-04-21,51,0.40,0.40,2.0,48924.94
2012-04-22,63,42.40,42.40,16.0,49074.51
2012-04-23,65,20.50,20.50,6.0,49222.48
2012-04-24,3,0.00,0.00,0.0,49368.71
2012-04-25,51,0.40,0.40,1.0,49513.43
2012-04-26,51,0.60,0.60,2.0,49657.68
2012-04-27,51,0.60,0.60,2.0,49801.43
2012-04-28,3,0.00,0.00,0.0,49944.57
2012-04-29,3,0.00,0.00,0.0,50086.98
2012-04-30,51,0.10,0.10,1.0,50228.56
2012-05-01,63,19.30,19.30,10.0,50369.18
2012-05-02,3,0.00,0.00,0.0,50508.71
2012-05-03,53,2.40,2.40,8.0,50647.05
2012-05-04,51,0.10,0.10,1.0,50784.05
2012-05-05,51,1.30,1.30,8.0,50919.58
2012-05-06,3,0.00,0.00,0.0,51053.53
2012-05-07,3,0.00,0.00,0.0,51185.74
2012-05-08,51,1.20,1.20,6.0,51316.09
2012-05-09,63,36.80,36.80,24.0,51444.43
2012-05-10,63,18.60,18.60,10.0,51570.62
2012-05-11,3,0.00,0.00,0.0,51694.52
2012-05-12,3,0.00,0.00,0.0,51815.97
2012-05-13,3,0.00,0.00,0.0,51934.82
2012-05-14,3,0.00,0.00,0.0,52050.93
2012-05-15,63,17.70,17.70,12.0,52164.43
2012-05-16,55,2.90,2.90,3.0,52276.25
2012-05-17,3,0.00,0.00,0.0,52386.34
2012-05-18,3,0.00,0.00,0.0,52494.59
2012-05-19,1,0.00,0.00,0.0,52600.89
2012-05-20,51,0.10,0.10,1.0,52705.14
2012-05-21,55,8.40,8.40,15.0,52807.22
2012-05-22,63,17.80,17.80,16.0,52907.02
2012-05-23,3,0.00,0.00,0.0,53004.40
2012-05-24,53,0.60,0.60,2.0,53099.27
2012-05-25,53,1.30,1.30,3.0,53191.50
2012-05-26,3,0.00,0.00,0.0,53280.96
2012-05-27,55,1.80,1.80,2.0,53367.55
2012-05-28,55,2.50,2.50,3.0,53451.12
2012-05-29,3,0.00,0.00,0.0,53531.58
2012-05-30,53,6.20,6.20,12.0,53608.77
2012-05-31,3,0.00,0.00,0.0,53682.59
2012-06-01,3,0.00,0.00,0.0,53752.91
2012-06-02,63,20.60,20.60,9.0,53819.60
2012-06-03,3,0.00,0.00,0.0,53882.54
2012-06-04,51,0.50,0.50,3.0,53941.78
2012-06-05,3,0.00,0.00,0.0,53997.80
2012-06-06,53,0.50,0.50,1.0,54050.64
